,id,car_brand,car_registration_year,car_eng_pow,customer_age,postal_code,claim_amount,policy_id,marital_status,policy_start,policy_end,car_age
56,54,Dodge,2009,more than 250,68.0,8736,460.68,P25703,Married,4/5/2020,11/13/2021,13
57,55,Volkswagen,2000,more than 250,28.0,,565.02,P13259,Married,10/21/2019,1/24/2021,22
58,56,Nissan,1993,100-250,70.0,39180,1006.63,P52049,Married,10/3/2020,9/11/2021,29
59,57,Mazda,1985,more than 250,53.0,,139.72,P42730,Single,10/1/2020,2/27/2021,37
60,58,Acura,2003,more than 250,21.0,681 37,2042.5,P03803,Single,8/7/2019,7/22/2021,19
61,59,Chrysler,2009,100-250,62.0,6513,2088.8,P53719,Married,9/26/2019,10/9/2021,13
62,60,Nissan,1996,more than 250,30.0,,934.06,P50951,Married,4/6/2020,4/24/2021,26
63,61,Toyota,1994,0-100,21.0,27944,967.17,P44074,Married,3/21/2019,5/19/2021,28
64,62,GMC,2008,more than 250,54.0,,971.13,P14206,Single,10/13/2020,7/21/2021,14
65,63,Lotus,2007,more than 250,86.0,V9L,1580.23,P47204,Single,9/25/2020,11/25/2021,15
66,64,Chevrolet,1996,more than 250,39.0,,761.21,P74319,Married,9/7/2020,5/21/2021,26
67,65,Toyota,1978,0-100,66.0,,2036.66,P24956,Married,7/9/2020,6/5/2021,44
68,66,BMW,2004,100-250,43.0,51000,878.96,P12686,Married,11/29/2019,3/31/2021,18
69,67,Toyota,2001,0-100,89.0,,1683.5,P43280,Married,9/11/2019,10/3/2021,21
70,68,Acura,1993,more than 250,97.0,75235 CEDEX 05,490.09,P87602,Married,3/13/2020,7/2/2021,29
71,69,Mitsubishi,1994,100-250,23.0,,0.0,P90822,Single,9/11/2019,2/24/2022,28
72,70,Lexus,1997,more than 250,73.0,140704,2037.14,P25962,Married,11/12/2019,3/2/2021,25
73,71,Dodge,2008,more than 250,48.0,,1494.56,P54120,Married,9/16/2020,2/2/2021,14
74,72,Ford,1996,0-100,31.0,,805.63,P57233,Single,11/9/2019,11/21/2021,26
75,73,Dodge,2002,more than 250,21.0,28-425,1498.57,P62908,Single,7/1/2020,1/1/2021,20
76,74,Volkswagen,2005,100-250,91.0,44315,575.88,P93356,Single,12/24/2020,2/12/2022,17
77,75,Geo,1992,100-250,82.0,24-120,1257.32,P90503,Single,4/7/2019,3/29/2021,30
78,76,Acura,2005,100-250,35.0,746 40,586.46,P91011,Married,8/28/2019,5/18/2021,17
79,77,Plymouth,1999,more than 250,57.0,88084 CEDEX 9,1172.21,P85894,Married,6/12/2020,9/29/2021,23
80,78,Saturn,2007,more than 250,24.0,612730,1120.4,P32649,Single,2/15/2020,10/15/2021,15
81,79,Infiniti,1994,more than 250,17.0,,790.25,P65700,Married,6/19/2019,10/10/2021,28
82,80,Cadillac,2012,more than 250,37.0,6118,1980.72,P50930,Married,2/18/2019,4/28/2021,10
83,81,Honda,2005,100-250,17.0,,59.04,P44094,Married,4/19/2019,4/11/2021,17
84,82,Cadillac,2004,more than 250,31.0,47719,0.0,P24239,Single,4/4/2019,7/24/2021,18
85,83,Plymouth,2000,,,,1823.68,P93924,Married,8/26/2019,12/9/2021,22
86,84,BMW,2006,more than 250,79.0,,521.77,P94263,Single,12/1/2019,2/2/2022,16
87,85,Ferrari,2009,,,,1848.6,P86513,Single,3/27/2020,11/17/2021,13
88,86,Lincoln,2003,more than 250,75.0,,0.0,P40444,Single,4/24/2020,2/25/2022,19
89,87,Audi,1989,,,,1642.33,P92430,Single,1/6/2020,1/10/2022,33
90,88,Nissan,2004,more than 250,31.0,,999.64,P74484,Single,9/2/2020,2/9/2022,18
91,89,Mitsubishi,1990,100-250,100.0,,505.7,P37029,Single,6/5/2020,8/19/2021,32
92,90,Oldsmobile,1992,more than 250,48.0,,1989.37,P26271,Single,8/5/2019,10/3/2021,30
93,91,Hyundai,2008,more than 250,87.0,,943.8,P24113,Married,2/12/2019,1/26/2021,14
94,92,Chevrolet,1994,more than 250,20.0,,689.61,P91148,Married,8/26/2019,1/17/2022,28
95,93,Toyota,2000,0-100,92.0,,2065.56,P22605,Married,4/1/2019,5/12/2021,22
96,94,Cadillac,1999,100-250,31.0,47-420,1069.32,P51171,Single,10/17/2020,1/7/2021,23
97,95,Bentley,2009,more than 250,16.0,,1973.69,P06006,Married,4/9/2020,10/7/2021,13
98,96,Jaguar,2006,more than 250,53.0,92905,1360.43,P02943,Single,11/8/2020,9/13/2021,16
99,97,Mitsubishi,1994,more than 250,23.0,,559.74,P33021,Single,7/12/2019,2/16/2021,28
100,98,Pontiac,1985,more than 250,34.0,,1388.63,P73426,Single,1/1/2020,4/19/2021,37
101,99,Scion,2008,100-250,72.0,,2102.5,P17527,Single,2/28/2019,2/17/2022,14
102,100,Mercedes-Benz,2000,100-250,61.0,,1346.74,P09130,Single,10/1/2019,11/24/2021,22
103,101,Kia,2012,100-250,82.0,,603.34,P60805,Single,10/26/2019,12/30/2021,10
104,102,Buick,1995,100-250,69.0,29905,1311.33,P76506,Single,5/10/2019,3/30/2021,27
105,103,Chrysler,1993,more than 250,28.0,,265.26,P64422,Single,10/21/2019,2/5/2022,29
106,104,Ford,2002,more than 250,75.0,,1506.74,P32174,Married,7/17/2019,7/26/2021,20
107,104,Ford,2002,more than 250,75.0,,1506.74,P32174,Married,3/19/2019,8/2/2021,20
108,881,Bentley,2010,more than 250,50.0,,702.43,P32174,Married,7/17/2019,7/26/2021,12
109,881,Bentley,2010,more than 250,50.0,,702.43,P32174,Married,3/19/2019,8/2/2021,12
110,105,Hyundai,2006,100-250,97.0,,942.79,P36802,Single,8/22/2019,9/14/2021,16
111,106,Subaru,2010,100-250,49.0,,1141.96,P94049,Married,11/15/2020,5/24/2021,12
112,107,Pontiac,1985,100-250,43.0,,762.55,P53065,Single,4/15/2019,5/22/2021,37
113,108,Mercury,1997,more than 250,70.0,,0.0,P19141,Single,12/4/2019,3/5/2021,25
114,108,Mercury,1997,more than 250,70.0,,0.0,P19141,Single,10/11/2020,4/6/2021,25
115,469,BMW,1997,100-250,84.0,,1626.19,P19141,Single,12/4/2019,3/5/2021,25
116,469,BMW,1997,100-250,84.0,,1626.19,P19141,Single,10/11/2020,4/6/2021,25
117,109,BMW,2006,100-250,29.0,80243,2016.34,P88455,Married,2/16/2020,2/2/2022,16
118,110,Ford,2013,100-250,35.0,,2201.03,P19169,Single,8/21/2020,1/28/2022,9
119,111,Land Rover,2009,more than 250,53.0,,412.66,P66068,Single,3/8/2020,10/3/2021,13
120,112,Chevrolet,2007,more than 250,42.0,60306,317.67,P51581,Married,8/23/2019,5/5/2021,15
121,113,Volkswagen,1987,more than 250,20.0,,169.39,P66950,Married,10/30/2019,2/14/2021,35
122,114,Mazda,1992,100-250,52.0,7630,858.65,P89872,Single,4/29/2019,9/27/2021,30
123,115,Audi,1994,0-100,16.0,152 07,1591.92,P02855,Married,1/21/2020,6/2/2021,28
124,116,Lexus,1998,0-100,26.0,63210,862.52,P20645,Single,9/21/2019,9/1/2021,24
125,117,Hyundai,2010,more than 250,53.0,357247,89.47,P95208,Married,9/7/2020,12/27/2021,12
126,118,Honda,2006,0-100,67.0,,175.92,P56056,Married,12/20/2019,9/6/2021,16
127,119,GMC,1992,more than 250,37.0,,2397.45,P75255,Married,10/16/2020,9/26/2021,30
128,120,Mazda,1994,100-250,26.0,2259,1588.46,P99235,Single,10/18/2020,3/19/2021,28
129,121,Infiniti,2012,100-250,25.0,,2051.0,P79306,Married,7/22/2019,8/1/2021,10
130,122,Maserati,2010,0-100,39.0,,1018.57,P07789,Single,2/13/2020,8/28/2021,12
131,123,Ford,1991,more than 250,20.0,,1296.3,P10147,Single,8/5/2019,2/1/2022,31
132,124,Mazda,1998,100-250,26.0,,1522.62,P16152,Single,12/23/2019,11/23/2021,24
133,125,Dodge,2008,more than 250,23.0,684058,1966.31,P32128,Married,11/20/2019,5/2/2021,14
134,126,Honda,2012,100-250,99.0,,1185.9,P97463,Single,7/11/2020,1/29/2022,10
135,127,Mitsubishi,2009,100-250,32.0,,1802.36,P10624,Single,7/17/2019,10/2/2021,13
136,128,Acura,2003,100-250,25.0,H3R,1167.07,P14331,Married,3/9/2019,4/4/2021,19
137,129,Ford,1993,more than 250,16.0,,659.9,P38233,Married,11/15/2020,4/7/2021,29
138,130,GMC,2012,more than 250,17.0,,1464.53,P91612,Married,1/14/2020,6/1/2021,10
139,131,Toyota,1993,more than 250,93.0,60028,1562.84,P04482,Married,2/16/2020,1/16/2022,29
140,132,Mercedes-Benz,2007,more than 250,29.0,,1745.07,P53155,Married,3/11/2019,9/1/2021,15
141,133,Chrysler,1992,100-250,32.0,,116.59,P61109,Married,5/16/2020,12/27/2021,30
142,134,Suzuki,2009,100-250,40.0,,1914.35,P62718,Single,4/16/2019,8/10/2021,13
143,135,Dodge,1999,100-250,44.0,,1571.3,P81799,Single,2/16/2019,5/16/2021,23
144,136,Mazda,1988,more than 250,30.0,,1522.31,P86201,Single,6/22/2019,9/21/2021,34
145,137,Saab,1998,more than 250,85.0,675 01,0.0,P03606,Single,5/31/2019,1/21/2022,24
146,138,Nissan,2007,100-250,40.0,,1545.06,P66240,Single,8/22/2019,10/1/2021,15
147,139,Volvo,2013,100-250,48.0,,510.7,P12813,Single,10/25/2019,11/19/2021,9
148,140,Nissan,1996,more than 250,92.0,,2203.28,P84964,Single,6/28/2020,9/27/2021,26
149,141,Mercury,1997,100-250,83.0,94675 CEDEX,609.57,P02678,Single,8/23/2019,1/21/2021,25
150,142,Volkswagen,2009,100-250,88.0,,813.61,P31184,Single,12/13/2019,12/12/2021,13
151,143,Alfa Romeo,1993,0-100,23.0,9200,1934.36,P71933,Married,10/15/2019,6/4/2021,29
152,144,Buick,2007,100-250,84.0,5914,0.0,P76260,Single,12/28/2019,9/3/2021,15
153,145,Lexus,2005,100-250,32.0,,2020.51,P42075,Single,9/15/2019,2/27/2021,17
154,146,Mazda,1996,more than 250,68.0,,2247.19,P92586,Single,9/19/2019,6/16/2021,26
155,147,Mazda,2002,100-250,41.0,5531,1831.41,P90889,Single,11/16/2019,2/28/2021,20
156,148,Ford,1998,more than 250,76.0,160555,2472.07,P55809,Married,4/7/2020,1/3/2022,24
157,149,Chevrolet,1993,more than 250,67.0,13548 CEDEX,1146.27,P99599,Single,8/17/2019,2/3/2022,29
158,150,BMW,2001,100-250,75.0,,604.7,P30977,Married,3/5/2019,6/12/2021,21
159,151,GMC,1998,100-250,59.0,,1912.82,P26415,Married,10/25/2020,9/29/2021,24
160,152,Toyota,2013,more than 250,39.0,,488.52,P85477,Married,6/12/2019,4/29/2021,9
161,153,Mercedes-Benz,2009,more than 250,74.0,19001,220.8,P03221,Married,9/29/2020,11/11/2021,13
162,154,Plymouth,1999,more than 250,25.0,,1931.36,P42127,Married,7/1/2020,4/26/2021,23
163,155,Infiniti,2007,more than 250,83.0,,1457.45,P84873,Single,6/16/2019,5/23/2021,15
164,156,Chevrolet,2012,0-100,72.0,,1496.42,P36165,Single,1/24/2019,9/18/2021,10
165,157,Subaru,1998,more than 250,83.0,94409 CEDEX,112.99,P86260,Single,3/27/2019,8/21/2021,24
166,158,Acura,2010,0-100,36.0,T9J,519.43,P94442,Married,9/27/2020,1/18/2022,12
167,159,BMW,2005,100-250,74.0,,298.8,P91430,Married,5/7/2020,12/11/2021,17
168,160,Buick,1989,more than 250,20.0,,2087.14,P64250,Single,4/27/2020,2/20/2021,33
169,161,Plymouth,1993,more than 250,61.0,,1628.75,P38149,Married,5/29/2019,11/19/2021,29
170,162,BMW,2007,more than 250,48.0,790 01,2268.43,P74271,Married,7/11/2020,2/20/2021,15
171,163,Mazda,1995,more than 250,37.0,,125.9,P73107,Married,10/13/2020,4/12/2021,27
172,164,Volvo,2000,100-250,38.0,,1742.2,P30006,Married,7/2/2020,9/14/2021,22
173,165,Chevrolet,1996,100-250,72.0,10260,1009.57,P50194,Married,12/25/2019,8/18/2021,26
174,166,Volvo,2008,0-100,42.0,,1986.44,P61933,Married,12/18/2019,12/9/2021,14
175,167,Saab,1992,100-250,31.0,4410,1694.07,P27732,Single,6/25/2020,6/23/2021,30
176,168,Pontiac,1986,100-250,40.0,664 84,2458.42,P23908,Single,6/16/2020,9/18/2021,36
177,169,Toyota,2010,more than 250,78.0,,1392.15,P58197,Single,1/7/2019,5/9/2021,12
178,170,Toyota,1976,100-250,26.0,58865-000,2188.7,P37016,Married,7/7/2020,2/11/2022,46
179,171,Chevrolet,2008,more than 250,82.0,36005,948.25,P06146,Single,2/18/2020,6/21/2021,14
180,172,Aston Martin,2010,more than 250,84.0,,660.06,P26640,Single,2/4/2019,7/6/2021,12
181,173,Mercedes-Benz,1989,more than 250,52.0,,1712.28,P33452,Single,11/7/2020,11/26/2021,33
182,174,Lamborghini,2008,more than 250,29.0,439 42,2050.28,P46255,Married,9/24/2019,10/12/2021,14
183,175,Volvo,2000,100-250,75.0,,1905.01,P57521,Single,2/8/2019,12/29/2021,22
184,176,Mercury,1991,more than 250,76.0,99599,2381.4,P57123,Single,10/6/2019,5/17/2021,31
185,177,Chevrolet,1995,0-100,26.0,,1776.03,P30178,Single,7/1/2019,10/13/2021,27
186,178,Chevrolet,1992,100-250,42.0,377-0816,2366.47,P02801,Single,12/7/2019,5/13/2021,30
187,179,Audi,2003,more than 250,18.0,976-0022,299.97,P72426,Married,6/23/2020,9/12/2021,19
188,180,Oldsmobile,1995,more than 250,72.0,84304 CEDEX,2214.75,P78978,Married,8/5/2019,2/3/2021,27
189,181,Mercedes-Benz,1991,more than 250,53.0,407 47,1687.79,P02388,Married,7/18/2020,4/28/2021,31
190,182,Dodge,2005,more than 250,26.0,32-125,282.35,P68806,Single,2/7/2020,4/18/2021,17
191,183,Nissan,2009,more than 250,91.0,2900-005,1914.53,P27013,Single,7/29/2019,5/17/2021,13
192,184,Lincoln,1991,100-250,76.0,,0.0,P89370,Single,5/22/2019,9/9/2021,31
193,185,Mercury,2008,more than 250,43.0,4970-150,2397.22,P88262,Married,7/4/2020,5/27/2021,14
194,186,Chrysler,1996,0-100,41.0,86083 CEDEX 9,2171.45,P09173,Single,10/12/2019,8/1/2021,26
195,187,Buick,2005,0-100,39.0,94242,1164.87,P53665,Single,2/6/2020,4/10/2021,17
196,188,Lexus,2008,more than 250,27.0,,2031.55,P00287,Single,6/4/2019,5/30/2021,14
197,189,Mercury,2003,100-250,37.0,562 24,1645.37,P57371,Married,7/19/2019,2/24/2022,19
198,190,Kia,2003,more than 250,61.0,,2342.52,P81894,Married,12/20/2019,9/28/2021,19
199,191,Mitsubishi,2005,100-250,17.0,664 71,826.31,P93000,Married,4/15/2020,9/6/2021,17
200,192,Honda,2012,more than 250,20.0,,1424.94,P72615,Single,3/8/2020,6/22/2021,10
201,193,Mercedes-Benz,2008,0-100,46.0,70317,509.38,P89882,Single,3/16/2020,12/30/2021,14
202,194,Chrysler,1997,more than 250,42.0,,854.03,P83607,Married,9/28/2020,1/15/2022,25
203,195,Mitsubishi,1997,100-250,97.0,551 01,2053.16,P23843,Single,8/28/2019,8/15/2021,25
204,196,Volkswagen,1997,100-250,46.0,37650-000,0.0,P02755,Single,2/11/2020,3/15/2021,25
205,197,Lincoln,1985,more than 250,54.0,,1997.73,P15598,Married,2/4/2020,11/17/2021,37
206,198,Ford,2005,more than 250,93.0,35215,2409.24,P21782,Married,8/17/2019,7/5/2021,17
207,199,Mercury,1985,100-250,94.0,999-8521,1235.24,P78368,Married,7/30/2019,6/22/2021,37
208,200,Acura,2002,100-250,33.0,18270-000,305.66,P54750,Single,9/19/2019,1/26/2022,20
209,201,Honda,1984,100-250,60.0,3100-327,1274.46,P37187,Married,5/5/2019,5/28/2021,38
210,202,Honda,2011,0-100,33.0,,2408.56,P19134,Married,5/29/2019,1/15/2022,11
211,203,Mercedes-Benz,1999,100-250,56.0,,36.91,P43892,Single,11/4/2020,3/17/2021,23
212,204,Mercedes-Benz,2001,0-100,27.0,,1940.9,P56395,Married,2/23/2020,11/20/2021,21
213,205,Mazda,1992,more than 250,86.0,72029 CEDEX 2,0.0,P03742,Single,7/22/2020,4/8/2021,30
214,206,Volvo,2005,more than 250,50.0,,722.53,P40948,Married,6/28/2019,2/23/2021,17
215,207,Land Rover,1999,100-250,66.0,,740.74,P70648,Single,4/18/2020,6/30/2021,23
216,208,Volkswagen,2004,100-250,53.0,01004 CEDEX,2299.83,P48392,Married,6/24/2019,11/1/2021,18
217,209,Chevrolet,1996,0-100,61.0,75817 CEDEX 17,1895.2,P64721,Married,1/11/2019,12/3/2021,26
218,210,Chevrolet,2004,100-250,99.0,8407,595.02,P27300,Single,2/15/2019,11/12/2021,18
219,211,Dodge,1994,more than 250,86.0,323-0051,2307.62,P57019,Single,8/27/2019,11/23/2021,28
220,212,Ford,2013,more than 250,56.0,,1903.69,P67081,Single,8/30/2019,5/2/2021,9
221,213,Panoz,2007,more than 250,46.0,162250,927.52,P89600,Single,8/15/2019,1/16/2022,15
222,214,Ford,1991,100-250,24.0,,1608.9,P28936,Married,10/8/2020,2/10/2021,31
223,215,Kia,2005,100-250,41.0,97-565,537.08,P62845,Single,6/26/2019,10/8/2021,17
224,216,Toyota,1998,0-100,83.0,,1718.31,P13582,Married,9/20/2019,10/30/2021,24
225,217,GMC,1997,0-100,24.0,65105,1505.96,P94345,Married,9/5/2019,2/12/2021,25
226,218,Mazda,1988,more than 250,62.0,84-360,1185.36,P47231,Single,1/31/2019,3/29/2021,34
227,219,Pontiac,1994,100-250,89.0,215-0003,889.32,P14928,Single,4/3/2020,2/15/2021,28
228,220,Ford,1988,more than 250,73.0,,0.0,P19178,Single,9/26/2019,8/7/2021,34
229,221,Honda,2005,more than 250,45.0,1725,1428.18,P95363,Married,12/23/2019,1/5/2022,17
230,222,Mazda,1999,more than 250,54.0,,0.0,P88297,Single,7/24/2020,11/12/2021,23
231,223,Buick,1984,0-100,74.0,4825-296,2315.06,P63563,Married,8/1/2019,12/17/2021,38
232,224,Honda,2003,100-250,57.0,,0.0,P86362,Single,3/1/2020,1/28/2021,19
233,225,Mercedes-Benz,2011,more than 250,50.0,,0.0,P33820,Single,2/18/2019,1/11/2022,11
234,226,Chrysler,2008,more than 250,59.0,,2305.95,P70332,Single,8/22/2019,1/9/2022,14
235,227,GMC,1994,0-100,32.0,,157.74,P11080,Married,9/17/2020,1/16/2021,28
236,228,Scion,2004,more than 250,40.0,86160-000,1305.24,P40672,Single,12/27/2019,1/1/2021,18
237,229,Mercury,1993,more than 250,48.0,,441.47,P11408,Married,4/25/2020,3/4/2021,29
238,230,Lotus,1993,more than 250,42.0,,827.23,P16810,Married,1/25/2020,2/24/2022,29
239,231,Ram,2012,more than 250,39.0,,0.0,P15720,Single,1/8/2019,2/24/2021,10
240,232,Oldsmobile,1999,100-250,90.0,,1675.19,P41919,Single,9/28/2020,9/28/2021,23
241,233,BMW,2006,100-250,69.0,4830-813,0.0,P71090,Single,12/13/2019,2/22/2022,16
242,234,Land Rover,2007,more than 250,53.0,29000-000,0.0,P83367,Single,9/13/2019,9/15/2021,15
243,235,Mercedes-Benz,2009,100-250,53.0,,4.96,P82328,Single,2/15/2019,10/17/2021,13
244,236,Chrysler,1992,100-250,99.0,,605.79,P35675,Single,4/14/2020,4/3/2021,30
245,237,Kia,2006,more than 250,42.0,,219.18,P26330,Single,10/12/2019,9/8/2021,16
246,238,Infiniti,2011,more than 250,85.0,92825,2064.34,P23394,Single,11/30/2019,3/11/2021,11
247,239,Toyota,1976,more than 250,32.0,7213,432.77,P04335,Married,7/19/2020,7/1/2021,46
248,240,Ford,2011,more than 250,86.0,29785-000,2.13,P54370,Single,4/30/2020,7/19/2021,11
249,241,Ford,1985,100-250,48.0,24-320,657.06,P36138,Married,2/21/2019,3/17/2021,37
250,242,Jeep,2000,100-250,39.0,666,67.98,P05548,Married,5/25/2019,1/30/2021,22
251,243,Ford,1909,more than 250,71.0,10141,1242.13,P45193,Married,7/3/2019,1/25/2021,113
252,244,Mitsubishi,1999,100-250,40.0,57-220,1134.99,P51204,Married,11/25/2020,2/12/2021,23
253,245,Mitsubishi,1996,100-250,90.0,,2198.12,P14892,Married,8/27/2019,7/9/2021,26
254,246,Geo,1997,more than 250,74.0,9732,53.42,P51259,Single,11/29/2019,3/21/2021,25
255,247,Toyota,2012,100-250,79.0,645 94,75.18,P80781,Single,11/14/2019,10/25/2021,10
256,248,Mazda,1987,0-100,25.0,2334,1152.73,P91946,Single,6/13/2020,2/8/2022,35
257,249,Chevrolet,1991,100-250,99.0,633008,160.5,P86049,Single,4/6/2020,6/10/2021,31
258,250,Kia,1996,more than 250,40.0,,808.63,P26594,Single,12/13/2020,11/16/2021,26
259,251,Ford,1989,0-100,63.0,348 06,431.16,P57499,Married,10/16/2019,8/3/2021,33
260,252,Toyota,1992,more than 250,94.0,,1672.76,P80227,Married,12/3/2020,3/2/2021,30
261,253,Lamborghini,1985,100-250,42.0,70826,1134.03,P41817,Married,8/29/2019,5/4/2021,37
262,254,Audi,2003,100-250,96.0,,2214.2,P76135,Single,8/9/2019,2/11/2021,19
263,255,Suzuki,1996,more than 250,74.0,,1488.57,P44465,Single,9/9/2020,12/18/2021,26
264,256,Lexus,2006,0-100,35.0,156521,551.77,P13760,Married,6/21/2020,9/23/2021,16
265,257,Kia,2007,0-100,93.0,,1526.58,P22096,Single,1/4/2020,8/9/2021,15
266,258,Pontiac,1974,100-250,30.0,,545.18,P05602,Married,3/31/2019,5/27/2021,48
267,259,Ford,2003,100-250,84.0,,1517.43,P48299,Married,8/30/2020,3/8/2021,19
268,260,Ford,2006,0-100,88.0,411 00,209.46,P31495,Married,8/9/2020,6/3/2021,16
269,261,Mitsubishi,1987,more than 250,76.0,,798.79,P91766,Married,8/15/2019,7/5/2021,35
270,262,Mazda,1994,100-250,65.0,89108-000,2016.37,P73704,Single,9/8/2020,5/7/2021,28
271,263,Porsche,2008,100-250,66.0,,1278.5,P24846,Single,11/29/2020,6/22/2021,14
272,264,Hyundai,2012,100-250,74.0,,412.54,P53256,Single,7/17/2020,11/26/2021,10
